,bathrooms,bedrooms,beds,bed_type,price,cleaning_fee,availability_30,availability_90,number_of_reviews,latitude,longitude,property_type,room_type,neighbourhood_cleansed,minimum_nights,maximum_nights
3482,1.0,1.0,2.0,Real Bed,90.0,50.0,2,41,19,42.35158931368296,-71.13346641408327,Apartment,Entire home/apt,Allston,3,30
3483,1.0,1.0,1.0,Real Bed,75.0,10.0,0,0,4,42.3526726640971,-71.12718862016965,Apartment,Private room,Allston,2,1125
3484,1.0,1.0,2.0,Real Bed,138.0,68.0,2,2,2,42.352194902478224,-71.12595064236262,Apartment,Entire home/apt,Allston,1,25
3485,1.0,1.0,1.0,Real Bed,66.0,30.0,21,64,2,42.35053057087894,-71.12820936635138,Apartment,Entire home/apt,Allston,2,25
3486,2.0,2.0,2.0,Real Bed,199.0,95.0,0,0,0,42.363580020542834,-71.1315050543147,Apartment,Entire home/apt,Allston,3,1125
3487,2.0,4.0,6.0,Real Bed,400.0,200.0,5,58,7,42.357683179974586,-71.1293690102354,Apartment,Entire home/apt,Allston,4,1125
3488,1.0,1.0,1.0,Real Bed,65.0,30.0,10,70,0,42.35223742791104,-71.12492056158025,Apartment,Private room,Allston,1,1125
3489,1.0,1.0,1.0,Real Bed,50.0,68.0,0,0,1,42.35293528817547,-71.12771394006761,Apartment,Shared room,Allston,1,1125
3490,1.0,1.0,1.0,Real Bed,89.0,25.0,3,48,46,42.36114983035629,-71.12551284151213,Apartment,Private room,Allston,2,1125
3491,1.0,1.0,1.0,Real Bed,52.0,10.0,0,0,3,42.35216083792811,-71.12938189286888,Apartment,Private room,Allston,1,1125
3492,2.0,1.0,1.0,Real Bed,70.0,10.0,5,23,47,42.34998547277939,-71.14202092083927,House,Private room,Allston,1,1125
3493,1.0,2.0,2.0,Real Bed,139.0,95.0,1,1,0,42.34919131537339,-71.1294456634807,Apartment,Entire home/apt,Allston,3,1125
3494,1.0,0.0,2.0,Real Bed,269.0,40.0,29,89,4,42.34784649416809,-71.13559859547792,Apartment,Entire home/apt,Allston,1,1125
